TICKER,CNAME,ACTDATS,ESTIMATOR,ANALYS,FPI,MEASURE,VALUE,ANNDATS,REVDATS,FPEDATS,ANNDATS_ACT,ACTUAL,FORECAST_ERROR
AAPL,APPLE COMPUTER,1995-01-20,206,7985,6,EPS,0.0095,1995-01-20,1995-06-08,1995-03-31,1995-04-20,0.0053,-0.0042
AAPL,APPLE COMPUTER,1995-01-20,7,7932,6,EPS,0.0083,1995-01-20,1995-10-18,1995-03-31,1995-04-20,0.0053,-0.003
AAPL,APPLE COMPUTER,1995-01-20,308,677,6,EPS,0.0079,1995-01-20,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.0026000000000000007
AAPL,APPLE COMPUTER,1995-01-20,125,146,6,EPS,0.0086,1995-01-20,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.0033
AAPL,APPLE COMPUTER,1995-01-20,29,9077,6,EPS,0.0104,1995-01-20,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.0050999999999999995
AAPL,APPLE COMPUTER,1995-01-20,28,1997,6,EPS,0.0087,1995-01-20,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.0033999999999999994
AAPL,APPLE COMPUTER,1995-01-23,232,740,6,EPS,0.0091,1995-01-20,1995-03-23,1995-03-31,1995-04-20,0.0053,-0.0038000000000000004
AAPL,APPLE COMPUTER,1995-01-23,118,1765,6,EPS,0.0097,1995-01-23,1995-03-27,1995-03-31,1995-04-20,0.0053,-0.0044
AAPL,APPLE COMPUTER,1995-01-23,933,9514,6,EPS,0.0087,1995-01-23,1995-10-12,1995-03-31,1995-04-20,0.0053,-0.0033999999999999994
AAPL,APPLE COMPUTER,1995-01-26,68,18367,6,EPS,0.0072,1995-01-25,1995-03-01,1995-03-31,1995-04-20,0.0053,-0.0018999999999999998
AAPL,APPLE COMPUTER,1995-01-30,183,4684,6,EPS,0.0084,1995-01-30,1995-10-19,1995-03-31,1995-04-20,0.0053,-0.0030999999999999995
AAPL,APPLE COMPUTER,1995-01-30,37,9236,6,EPS,0.0079,1995-01-30,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.0026000000000000007
AAPL,APPLE COMPUTER,1995-01-31,100,9486,6,EPS,0.0092,1995-01-31,1995-03-13,1995-03-31,1995-04-20,0.0053,-0.0039
AAPL,APPLE COMPUTER,1995-02-02,39,678,6,EPS,0.0078,1995-02-02,1995-04-17,1995-03-31,1995-04-20,0.0053,-0.0024999999999999996
AAPL,APPLE COMPUTER,1995-02-02,94,965,6,EPS,0.0088,1995-02-02,1995-10-03,1995-03-31,1995-04-20,0.0053,-0.0035000000000000005
AAPL,APPLE COMPUTER,1995-02-03,114,494,6,EPS,0.0087,1995-02-03,1995-03-24,1995-03-31,1995-04-20,0.0053,-0.0033999999999999994
AAPL,APPLE COMPUTER,1995-02-16,189,5668,6,EPS,0.0095,1995-02-14,1995-03-14,1995-03-31,1995-04-20,0.0053,-0.0042
AAPL,APPLE COMPUTER,1995-02-23,192,1830,6,EPS,0.0078,1995-02-22,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.0024999999999999996
AAPL,APPLE COMPUTER,1995-02-24,211,4299,6,EPS,0.0113,1995-02-23,1995-03-28,1995-03-31,1995-04-20,0.0053,-0.005999999999999999
AAPL,APPLE COMPUTER,1995-02-28,142,54,6,EPS,0.0076,1995-02-28,1995-10-19,1995-03-31,1995-04-20,0.0053,-0.0023
AAPL,APPLE COMPUTER,1995-03-02,68,18367,6,EPS,0.0085,1995-02-28,1995-10-18,1995-03-31,1995-04-20,0.0053,-0.0032000000000000006
AAPL,APPLE COMPUTER,1995-03-14,100,9486,6,EPS,0.0085,1995-03-14,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.0032000000000000006
AAPL,APPLE COMPUTER,1995-03-15,189,5668,6,EPS,0.0083,1995-03-15,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.003
AAPL,APPLE COMPUTER,1995-03-24,232,740,6,EPS,0.0075,1995-03-24,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.0021999999999999997
AAPL,APPLE COMPUTER,1995-03-28,118,1765,6,EPS,0.0085,1995-03-28,1995-07-12,1995-03-31,1995-04-20,0.0053,-0.0032000000000000006
AAPL,APPLE COMPUTER,1995-03-29,211,4299,6,EPS,0.0098,1995-03-29,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.0045
AAPL,APPLE COMPUTER,1995-04-04,114,494,6,EPS,0.0076,1995-04-04,1995-10-19,1995-03-31,1995-04-20,0.0053,-0.0023
AAPL,APPLE COMPUTER,1995-04-04,215,685,6,EPS,0.0076,1995-04-04,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.0023
AAPL,APPLE COMPUTER,1995-04-04,86,585,6,EPS,0.0076,1995-04-04,1995-10-20,1995-03-31,1995-04-20,0.0053,-0.0023
AAPL,APPLE COMPUTER,1995-04-11,275,689,6,EPS,0.0085,1995-04-10,1995-10-19,1995-03-31,1995-04-20,0.0053,-0.0032000000000000006
AAPL,APPLE COMPUTER,1995-04-18,39,678,6,EPS,0.0072,1995-04-18,1995-10-17,1995-03-31,1995-04-20,0.0053,-0.0018999999999999998
AAPL,APPLE COMPUTER,1995-04-21,28,1997,6,EPS,0.0075,1995-04-21,1996-01-18,1995-06-30,1995-07-20,0.0075,0.0
AAPL,APPLE COMPUTER,1995-04-21,100,9486,6,EPS,0.008,1995-04-21,1996-01-19,1995-06-30,1995-07-20,0.0075,-0.0005000000000000004
AAPL,APPLE COMPUTER,1995-04-24,206,7985,6,EPS,0.0083,1995-04-24,1995-06-08,1995-06-30,1995-07-20,0.0075,-0.0008000000000000004
AAPL,APPLE COMPUTER,1995-04-24,232,740,6,EPS,0.0086,1995-04-24,1995-07-11,1995-06-30,1995-07-20,0.0075,-0.0011000000000000003
AAPL,APPLE COMPUTER,1995-04-24,189,5668,6,EPS,0.0081,1995-04-24,1996-01-19,1995-06-30,1995-07-20,0.0075,-0.0005999999999999998
AAPL,APPLE COMPUTER,1995-04-24,183,4684,6,EPS,0.0087,1995-04-24,1996-01-19,1995-06-30,1995-07-20,0.0075,-0.0011999999999999997
AAPL,APPLE COMPUTER,1995-04-25,118,1765,6,EPS,0.008,1995-04-24,1995-07-12,1995-06-30,1995-07-20,0.0075,-0.0005000000000000004
AAPL,APPLE COMPUTER,1995-04-26,192,1830,6,EPS,0.008,1995-04-26,1996-01-15,1995-06-30,1995-07-20,0.0075,-0.0005000000000000004
AAPL,APPLE COMPUTER,1995-04-27,863,30168,6,EPS,0.0079,1995-04-27,1996-01-19,1995-06-30,1995-07-20,0.0075,-0.00040000000000000105
AAPL,APPLE COMPUTER,1995-05-01,125,146,6,EPS,0.0085,1995-05-01,1996-01-19,1995-06-30,1995-07-20,0.0075,-0.0010000000000000009
AAPL,APPLE COMPUTER,1995-05-02,37,9236,6,EPS,0.0085,1995-05-02,1996-01-19,1995-06-30,1995-07-20,0.0075,-0.0010000000000000009
AAPL,APPLE COMPUTER,1995-05-09,211,4299,6,EPS,0.0086,1995-05-09,1996-01-19,1995-06-30,1995-07-20,0.0075,-0.0011000000000000003
AAPL,APPLE COMPUTER,1995-05-09,39,678,6,EPS,0.0095,1995-05-09,1996-01-19,1995-06-30,1995-07-20,0.0075,-0.002
AAPL,APPLE COMPUTER,1995-05-16,68,18367,6,EPS,0.0071,1995-05-15,1996-01-19,1995-06-30,1995-07-20,0.0075,0.0003999999999999993
AAPL,APPLE COMPUTER,1995-05-17,933,9514,6,EPS,0.0089,1995-05-17,1996-01-16,1995-06-30,1995-07-20,0.0075,-0.0014000000000000002
AAPL,APPLE COMPUTER,1995-05-23,308,677,6,EPS,0.0066,1995-05-23,1996-01-19,1995-06-30,1995-07-20,0.0075,0.0008999999999999998
AAPL,APPLE COMPUTER,1995-05-24,7,7932,6,EPS,0.0083,1995-05-24,1996-01-17,1995-06-30,1995-07-20,0.0075,-0.0008000000000000004
AAPL,APPLE COMPUTER,1995-05-25,407,167,6,EPS,0.0075,1995-05-23,1996-01-18,1995-06-30,1995-07-20,0.0075,0.0
AAPL,APPLE COMPUTER,1995-05-25,142,54,6,EPS,0.0072,1995-05-24,1996-01-17,1995-06-30,1995-07-20,0.0075,0.0002999999999999999
AAPL,APPLE COMPUTER,1995-07-12,232,740,6,EPS,0.0078,1995-07-11,1996-01-19,1995-06-30,1995-07-20,0.0075,-0.0002999999999999999
AAPL,APPLE COMPUTER,1995-01-11,114,494,1,EPS,0.0254,1995-01-11,1995-01-13,1995-09-30,1995-10-18,0.0301,0.004699999999999999
AAPL,APPLE COMPUTER,1995-01-13,192,1830,1,EPS,0.0314,1995-01-13,1995-01-25,1995-09-30,1995-10-18,0.0301,-0.001299999999999999
AAPL,APPLE COMPUTER,1995-01-20,125,146,1,EPS,0.0424,1995-01-20,1995-02-23,1995-09-30,1995-10-18,0.0301,-0.012300000000000002
AAPL,APPLE COMPUTER,1995-01-20,206,7985,1,EPS,0.0422,1995-01-20,1995-03-09,1995-09-30,1995-10-18,0.0301,-0.012100000000000003
AAPL,APPLE COMPUTER,1995-01-20,118,1765,1,EPS,0.042,1995-01-20,1995-03-27,1995-09-30,1995-10-18,0.0301,-0.011900000000000004
AAPL,APPLE COMPUTER,1995-01-20,28,1997,1,EPS,0.0366,1995-01-20,1995-04-20,1995-09-30,1995-10-18,0.0301,-0.006500000000000002
AAPL,APPLE COMPUTER,1995-01-20,86,585,1,EPS,0.0312,1995-01-20,1995-04-21,1995-09-30,1995-10-18,0.0301,-0.0011000000000000003
AAPL,APPLE COMPUTER,1995-01-20,29,9077,1,EPS,0.0451,1995-01-20,1995-05-02,1995-09-30,1995-10-18,0.0301,-0.015000000000000003
